"All our dreams can come true, if we have the courage to pursue them. ", Walt Disney
The future belongs to those who believe in the beauty of their dreams. , Eleanor Roosevelt
"Dreams come true. Without that possibility, nature would not incite us to have them. ", John Updike
Dream as if you'll live forever. Live as if you'll die today. , James Dean
Some men see things as they are and say why. I dream things that never were and say why not. , George Bernard Shaw
"Let us make our future now, and let us make our dreams tomorrow's reality. ", MalalaYousafzai
Tell me and I forget; teach me and I may remember; involve me and I learn., Benjamin Franklin
A baby is God's opinion that life should go on., Carl Sandburg
